room_id,host_id,neighbourhood,name,latitude,longitude,room_type,accommodates,bedrooms,beds,instant_bookable,first_review,last_review,number_of_reviews,review_scores_rating,price
36651487,276271422,浦东新区,迪士尼/立夏C06景观浴缸/免费接送机-迪士尼-丨免费接送行李/双床可睡4人丨免费早餐,31.13844000000001,121.67679,Entire home/apt,4,1,2,t,2019-07-18,2021-01-11,62,100.0,2403.04
36653420,276271422,浦东新区,迪士尼/立夏C03景观浴缸/免费接送机-迪士尼-丨免费接送行李/3床可睡6人丨免费早餐,31.13881,121.678,Entire home/apt,6,1,3,t,2019-07-18,2021-01-11,61,100.0,2161.4300000000007
37115926,279163172,浦东新区,花筑-免费接送迪士尼/特惠/含双早/地中海亲子房/免费停车/毗邻动物园/近医学园区/花海环境好,31.1061,121.66686,Private room,3,1,2,t,2019-11-16,2021-01-19,94,100.0,1841.46
37705489,237496551,浦东新区,【特惠】『美式田园家庭房』迪士尼旁独栋别墅/可接送迪士尼/近11号地铁站/奕欧来/野生动物园,31.12331,121.67416,Private room,3,1,2,t,2019-09-06,2020-11-04,76,100.0,1704.3300000000004
38053283,288764668,浦东新区,近地铁6，8号线，东方体育中心，梅奔文化中心，昌里路美食街，世博轴，晶耀前滩商圈附近精装大床房,31.15827,121.49987,Private room,2,1,1,t,2019-09-04,2021-02-01,77,100.0,1031.74
38448917,75525124,浦东新区,【芳糖】近迪士尼/浦东机场/地铁二号线/商业中心/位置极佳。独享130平loft整租适合4到6人,31.18365,121.70004,Entire home/apt,5,2,2,t,2019-09-19,2021-01-29,55,100.0,4381.63
39004038,298819785,浦东新区,「拾栖」迪士尼 八分钟接驳/超大双阳台落地全身镜+巨幕投影/温泉馆/地铁直达外滩,31.14153,121.66519,Entire home/apt,4,2,2,t,2019-10-01,2021-02-17,152,100.0,2638.12
39453923,298721318,浦东新区,全屋地暖/3房2卫5床4站地铁到东方明珠/新国展12分钟/外滩城隍庙豫园25分钟/田子坊30分钟,31.24067,121.54639,Entire home/apt,5,3,5,t,2020-04-25,2021-02-14,59,100.0,3434.78
40106623,276271422,浦东新区,O迪士尼/野生动物园/临河别墅/B11超赞大双床房/迪士尼固定班车/闵家雅苑/十九民宿,31.11116,121.68679,Private room,4,1,2,t,2019-11-25,2021-02-16,65,100.0,9239.95
40149823,188052734,浦东新区,冬泳 整套双层／百寸影院／近地铁站＋直达高铁机场＋东方明珠，外滩＋可寄存行李,31.14302,121.66592,Entire home/apt,4,2,2,t,2019-11-22,2021-02-22,106,100.0,1704.3300000000004
40290125,307991017,浦东新区,O独栋上海全屋地暖/游泳池/雅苑B(party Club 轰趴)近迪士尼和野生动物园)地铁11号线,31.14157,121.67006,Entire home/apt,16,7,13,t,2019-11-26,2021-02-17,80,100.0,12844.51
40317553,242437220,浦东新区,【暖阁】长租特惠—迪士尼15分钟车程/整套复式轻奢LOFT/野生动物园/新国际博览中心/海昌海洋,31.13817,121.65863,Entire home/apt,4,1,2,t,2019-11-25,2021-01-09,59,100.0,1606.38
40318549,311285258,浦东新区,思乡LOFT投影套房/七分钟迪士尼/近邻地铁站/野生动物园/｢ 免费早餐&不限时迪士尼免费接送｣,31.14253,121.66896,Private room,6,2,3,t,2019-12-03,2020-12-31,59,100.0,2461.81
41169312,322700655,浦东新区,【睡眠研究所Pro-玖】迪士尼接/送-日式进口烘干除螨-独立洗手间-床品除螨-床品除菌,31.14208,121.66794,Private room,2,1,1,f,2019-12-31,2021-02-16,90,100.0,1403.95
41182408,322700655,浦东新区,【睡眠研究所Pro-拾】迪士尼接/送-日式烘干除螨-独立洗手间-全屋消毒-小米电视-千兆网络,31.14084,121.66738,Private room,4,2,2,f,2020-01-01,2021-02-18,110,100.0,1932.88
41182634,322700655,浦东新区,【睡眠研究所Pro-捌】迪士尼接/送-日式进口烘干除螨-升级零压房−独立洗手间-除螨除菌-全屋消毒,31.14193,121.66917,Private room,2,1,1,f,2020-01-01,2021-02-22,126,100.0,1639.03
41186139,322700655,浦东新区,【睡眠研究所Pro-柒】迪士尼接/送−日式进口烘干除螨-独立洗手间-全屋消毒-除菌除螨-千兆网络,31.14024,121.66706,Private room,2,1,1,f,2020-01-01,2021-02-21,107,100.0,1469.25
41218870,322700655,浦东新区,【睡眠研究所Pro-陆】迪士尼接/送-日式进口烘干除螨-独立洗手间-全屋消毒-除螨除菌-千兆网络,31.14242,121.66683,Private room,2,1,1,f,2020-01-04,2021-02-21,67,100.0,1619.44
41220264,322700655,浦东新区,【睡眠研究所Pro-伍】迪士尼接/送-日式烘干除螨-独立洗手间-全屋消毒-除螨除菌,31.14172,121.66768,Private room,2,1,1,f,2020-01-04,2021-02-21,83,100.0,1364.77
41228924,322700655,浦东新区,【睡眠研究所Pro-贰】迪士尼接/送-日式进口烘干除螨-独立洗手间-全屋消毒-除菌除螨,31.14036,121.6675,Private room,2,1,1,f,2020-01-03,2021-02-14,115,100.0,1521.49
43145413,343469020,浦东新区,Nous麓眠〔浅野〕独享网红船舱长廊大床房超大落地窗斜拉床投影仪拍照打卡商业摄影近迪士尼,31.14309,121.66613,Private room,2,1,1,t,2020-05-26,2021-02-14,56,100.0,2174.49
43394048,273425212,浦东新区,带地暖的房间 朝语[揽月] 星空房 免费:接送迪士尼/接机/地铁/行李寄送/投影 躺在床上数星星星星,31.13464,121.67018,Entire home/apt,3,1,2,t,2020-05-20,2021-02-23,73,100.0,1469.25
43453686,273425212,浦东新区,带地暖的房间  朝语[繁星] 星空房 免费:接送迪士尼/接机/地铁/行李寄送/投影  躺在床上数星星,31.13369,121.66937,Entire home/apt,3,1,2,t,2020-06-05,2021-01-15,65,100.0,1789.22
43460602,273425212,浦东新区,带地暖的房间 朝语[月升]免费:接送迪士尼/接机/地铁/行李寄送/早餐 北欧荒原庇护所  独立卫生间,31.13099,121.67053,Private room,2,1,1,t,2020-06-05,2020-12-28,64,100.0,1292.94
43460951,273425212,浦东新区,带地暖的房间 朝语[月吟]免费:接送迪士尼/接机/地铁/行李寄送/早餐 北欧荒原庇护所  独立卫生间,31.13388,121.66925,Private room,2,1,1,t,2020-06-02,2020-12-30,59,100.0,1567.2
43461047,273425212,浦东新区,带地暖的房间 朝语[吟羽]免费:接送迪士尼/接机/地铁/行李寄送/早餐 北欧荒原庇护所  独立卫生间,31.13322,121.66909,Private room,2,1,1,t,2020-06-03,2021-01-15,71,100.0,1645.5600000000004
43461089,273425212,浦东新区,带地暖的房间 朝语 [风吟]免费:接送迪士尼/接机/地铁/行李寄送/早餐 落地窗投影浴缸 超大卫生间,31.1324,121.67045,Private room,2,1,1,t,2020-06-02,2020-11-10,60,100.0,2017.77
43461151,273425212,浦东新区,带地暖的房间 朝语 [沐风]有地暖，免费:接送迪士尼/接机/地铁/行李寄送/早餐 落地窗 超大卫生间,31.13392,121.66818,Private room,2,1,1,t,2020-05-27,2021-02-21,69,100.0,2350.8
43673977,107251358,浦东新区,念念不忘，必有回响（距离迪士尼，薰衣草公园和野生动物园超级近，免费地铁接送和好吃的早餐大放送）,31.14267000000001,121.69313,Private room,2,1,1,t,2020-06-19,2020-12-30,78,100.0,1260.29
43702615,134083055,浦东新区,相约转角-遇见-情侣闺蜜迪士尼免费接送/含双早 / 近地铁/距离迪士尼200米,31.14044,121.65977,Entire home/apt,2,1,1,t,2020-06-15,2021-01-13,58,100.0,1299.47
43721842,107251358,浦东新区,云想衣裳花想容 法式花园民宿,31.13651,121.69487,Private room,2,1,1,t,2020-06-22,2020-12-30,57,100.0,1260.29
43745512,298315572,浦东新区,大渔海糖【西江月】迪士尼乐园 星空房 大床 独立阳台 情侣花园 近地铁2号11号线 早餐 接送迪士尼,31.14128,121.67811,Private room,2,1,1,t,2020-06-23,2021-02-21,60,100.0,1645.5600000000004
43875362,343028940,浦东新区,Slow•足迹/独立双卧/ 免费接送迪斯尼及附近地铁站/含早餐/独立卫生间,31.13368,121.66353,Private room,4,2,2,t,2020-06-25,2021-01-22,61,100.0,2096.13
44022007,107251358,浦东新区,桃之夭夭 灼灼其华（近迪士尼，野生动物园  免费接送迪士尼乐园 与可口早餐）,31.13887,121.70156,Entire home/apt,2,1,1,t,2020-07-10,2021-01-22,53,100.0,1273.35
12130017,12105829,虹口区,"Tongji, Fudan, Miyun road 528.",31.28276,121.49591,Private room,1,1,1,t,2016-08-10,2019-12-22,82,100.0,1266.82
31966897,237748763,虹口区,【穿越流光】整套|外滩陆家嘴一线江景（宝格丽同款）两室两卫两厅/双地铁零距离/苏州河南京东路人民广场,31.24322,121.48428,Entire home/apt,4,2,2,f,2019-02-13,2021-02-13,93,100.0,7156.88
33906546,221070709,虹口区,【SIXIANG上海 · 外滩】超大空间，直角飘窗大房，宝格丽同款景观，超美的东方明珠和黄浦江夜景,31.24362,121.48259,Private room,2,1,1,f,2019-04-22,2021-01-31,252,100.0,4623.24
18621771,98072294,长宁区,"温馨阁楼loft,超大空间,两只猫咪。虹桥机场火车站超近,2号线直达静安寺人民广场，2021一起过年",31.21183,121.37044,Private room,2,1,0,f,2017-06-06,2020-06-02,79,100.0,1214.5800000000004
31890730,44346182,长宁区,ins《CaSa老P+撸猫狗不寂寞》介意勿定！位于市中心直达迪士尼高铁机场，步行至愚园路武康路安福路,31.21849000000001,121.43689,Private room,2,1,1,f,2019-02-10,2020-12-31,62,100.0,2083.07
34197790,59852544,长宁区,【乐意公社】中山公园秋叶源/原木雅白/朝南两房一厅/长宁来福士 #别让我飞，将我温柔豢养,31.21326,121.42431,Entire home/apt,4,2,1,t,2019-05-01,2020-12-09,94,100.0,2468.34
35751111,231261500,长宁区,【光合效应】北欧清新原木/两室一厅/中山公园商圈/龙之梦/地铁2/3/4 #你是风景也是陷阱,31.2121,121.42282,Entire home/apt,4,2,2,t,2019-06-19,2021-02-02,59,100.0,2226.73
35823777,67411313,长宁区,｛北欧小屋｝中山公园地铁站2、3、4号线距来福士500米/人广4站直达火车站/Muji床/小米50寸,31.2154,121.41034,Private room,2,1,1,f,2019-06-24,2020-05-04,60,100.0,1560.67
36297978,275009500,长宁区,【晓房子-建筑师自宅】现代高品质精致公寓，10/3/4号线直达虹桥机场火车站/外滩，近徐家汇天主堂,31.19673,121.41705,Entire home/apt,4,1,2,t,2019-07-04,2020-11-20,52,100.0,3232.35
40125201,309399191,长宁区,(住猫屋）被绿树环绕的复古“木屋” 静安区花园洋房，有两只布偶小猫，欢迎猫奴,31.22438,121.43361000000002,Entire home/apt,3,1,1,t,2019-11-16,2021-02-21,149,100.0,3278.06
18760674,124619429,闵行区,距上戏莲花校区200米  近1号线莲花路站 高层电梯景观房 进口大床垫 超净卫浴 每日保洁 长租优惠,31.13771,121.40299,Private room,2,1,1,t,2017-07-19,2020-07-11,60,100.0,1665.15
25239905,99850852,闵行区,精选舒达床垫，隐匿在交大紫竹的小公寓:）,31.03618,121.44614,Entire home/apt,2,1,1,t,2018-06-29,2021-02-15,64,100.0,1332.12
29622886,158205560,闵行区,虹桥枢纽七宝万科日本風公寓 1DKマンション、地暖、机场、高铁、国家会展中心的士起步价、九号线地铁口,31.15319,121.34013,Entire home/apt,3,1,1,t,2018-11-20,2020-11-12,86,100.0,2657.71
31643188,104058736,闵行区,谧月-复古墨绿色天窗房间  带独立卫生间  靠近颛桥地铁站,31.043640000000003,121.3765,Private room,2,1,1,t,2019-01-22,2021-01-07,106,100.0,1273.35
34109378,212566210,闵行区,【尽•欢】沪漂情侣的温馨小家，15分钟至虹桥机场/火车站/国展中心/地铁二、十号线，旅游、找工作首选,31.20883,121.31018,Private room,2,1,1,t,2019-05-01,2021-01-28,124,100.0,1181.93
34593365,104058736,闵行区,【糙悦】性冷淡水泥工业风Loft 带独立卫生间,31.0436,121.37652,Private room,2,1,1,t,2019-05-16,2021-01-02,57,100.0,1273.35
36742155,104058736,闵行区,【星丛】北欧原宿风大床房 泡澡赏星星 独立卫生间 浴缸,31.04357000000001,121.37653,Private room,2,1,1,t,2019-07-26,2021-01-30,89,100.0,1939.41
34297967,221806589,青浦区,【虹馆•小筑】国家会展中心马路对面/毗邻虹桥机场/虹桥火车站/地铁二号线徐泾东站／精装loft公寓,31.18385,121.30271,Entire home/apt,5,2,3,t,2019-05-17,2021-02-15,85,100.0,2487.9300000000007
6221854,28396277,静安区,全木精装，生活交通便捷，展示原创艺术品及手作，近地铁一号八号线及上海火车站市中心面积达85平的小木屋,31.27277,121.46233,Entire home/apt,2,1,1,f,2015-05-24,2021-02-18,210,100.0,4557.940000000001
22073511,26937765,静安区,Cozy Room in a Quirky Townhouse,31.23046,121.44674,Private room,2,1,1,t,2017-12-10,2020-05-01,134,100.0,3029.92
22196768,66983793,静安区,「小玉の家」南京西路地铁旁清新小居 近外滩人民广场静安寺 有猫有书有茶有投影,31.2299,121.46225,Private room,2,1,1,t,2017-12-13,2021-01-18,103,100.0,1926.35
28843951,26937765,静安区,Childhood in downtown SH-5mins to subway2/7,31.2279,121.45073,Entire home/apt,5,1,2,t,2018-10-02,2021-02-07,145,100.0,8110.26
29089827,86821897,静安区,la casa 1001 建筑师自宅,31.2806,121.42706,Entire home/apt,4,2,2,t,2018-10-15,2020-10-04,71,100.0,3304.1800000000007
31077331,232158532,静安区,Super Discount- Shanghai Railway Station-Breakfast,31.25601,121.45673,Private room,2,1,1,t,2018-12-25,2021-01-03,81,100.0,1750.04
31557632,78198624,静安区,南京西路 老上海风情 闹中取静温馨一室户大开间 临近地铁2、12、13号线 出门就是吴江路、太古汇,31.23077,121.46023,Private room,2,1,1,t,2019-03-17,2021-01-28,133,100.0,1939.41
30749786,230114826,黄浦区,（长租优惠）「书的房 」人民广场地铁站步行209米｜123平两居两卫,31.23364,121.47736,Entire home/apt,4,2,2,t,2018-12-13,2021-01-05,147,100.0,7751.1100000000015
32790250,221079133,黄浦区,江景璀璨大三房、周边环境优美、南京路、外滩、豫园、世博园、新国际博览中心、陆家嘴、迪士尼乐园。,31.19854,121.49274,Entire home/apt,7,3,3,t,2019-03-14,2021-02-23,78,100.0,6778.14
37043863,259537110,黄浦区,近商圈淮海中路/新天地/思南公馆/田子坊/环贸iapm/外滩/城隍庙/核心地段。,31.21543,121.46469,Entire home/apt,2,1,1,f,2019-08-01,2021-02-20,71,100.0,1299.47
37346781,243075780,黄浦区,市中心/豫园城隍庙 /新天地/人广/可看夜景/老西门双地铁口1分钟/温馨超大次卧/欢迎长租/价格可谈,31.21883,121.48435,Private room,3,1,1,t,2019-08-13,2020-12-18,75,100.0,1240.7
38666697,72854219,黄浦区,【aesthetic】全江景私密套房 俯瞰世博南外滩夜景全景 80平北欧简约2居室,31.20274,121.49326,Entire home/apt,4,2,2,t,2019-10-01,2021-02-22,59,100.0,3036.4500000000007
43879002,156367872,黄浦区,Old Fashion-石库门|新天地旁|淮海中路|高清投影|独门独院|步行200米地铁|时尚地标,31.21839000000001,121.47482,Entire home/apt,2,1,1,t,2020-06-24,2021-02-05,53,100.0,2807.9
44509419,96410568,黄浦区,地铁步行2分钟【K11新天地】淮海路100米·大投影八角窗LOFT40平双床可住四人·虹桥站地铁直达,31.22207,121.47108,Entire home/apt,4,1,2,t,2020-08-06,2021-02-10,56,100.0,2089.6
